City,Bachelor,1BR,2BR,3BR
Castledown,900,"1,251","1,461","1,650"
Downtown,"1,100","1,290","1,625","1,927"
East Central Edmonton,"1,150","1,090","1,338","1,550"
Hudson's Bay Reserve,875,"1,050","1,415","1,489"
Jasper Place,925,"1,050","1,295","1,450"
Millwoods,"1,092","1,300","1,618","1,775"
North Central Edmonton,850,"1,095","1,289","1,450"
North East Edmonton,969,"1,240","1,417","1,621"
South West Edmonton,"1,025","1,299","1,550","1,749"
University of Alberta,"1,215","1,200","1,709","1,982"
West Central Edmonton,880,"1,035","1,235","1,433"
West Jasper Place,"1,095","1,289","1,499","1,701"
