Municipality,Bachelor,1BR,2BR,3BR,4BR
ACME,794,892,"1,031","1,239","1,500"
AIRDRIE,"1,159","1,380","1,750","2,030",NA
ALIX,794,892,"1,031","1,239","1,500"
ALLIANCE,794,892,"1,031","1,239","1,500"
AMISK,794,892,"1,031","1,239","1,500"
ANDREW,807,952,"1,084","1,181","1,500"
ANZAC,960,"1,185","1,415","1,600","1,856"
ARDMORE,966,"1,150","1,250","1,190","1,380"
ASHMONT,807,952,"1,084","1,181","1,500"
ATHABASCA,756,900,"1,000","1,100","1,276"
BALZAC,"1,159","1,380","1,750","2,030",NA
BANFF,"1,100","1,849","2,149","2,000","4,000"
BARNWELL,837,877,"1,070","1,265","1,371"
BARONS,837,877,"1,070","1,265","1,371"
BARRHEAD,700,750,850,"1,200","1,392"
BASHAW,794,892,"1,031","1,239","1,500"
BASSANO,475,565,850,800,928
BEARSPAW,"1,159","1,380","1,750","2,030",NA
BEAUMONT,995,"1,185","1,425","1,653",NA
BEAVERLODGE,714,850,900,"1,050","1,218"
BEISEKER VILLAGE,"1,159","1,380","1,750","2,030",NA
BENTLEY,794,892,"1,031","1,239","1,500"
BERWYN,666,922,"1,150","1,347","1,562"
BETULA BEACH,995,"1,185","1,425","1,653",NA
BEZANSON,666,922,"1,150","1,347","1,562"
BIG VALLEY,794,892,"1,031","1,239","1,500"
BLACKFALDS,794,892,"1,031","1,239","1,500"
BLAIRMORE,837,877,"1,070","1,265","1,371"
BLUE RIDGE,807,952,"1,084","1,181","1,500"
BLUESKY,666,922,"1,150","1,347","1,562"
BON ACCORD,995,"1,185","1,425","1,653",NA
BONNYVILLE,"1,005","1,148","1,280","1,486","1,724"
BOW ISLAND,599,713,900,925,"1,073"
BOWDEN,550,785,900,"1,044","1,211"
BOWELL,"1,090","1,205","1,150","1,450","1,682"
BOYLE,807,952,"1,084","1,181","1,500"
BRAGG CREEK,"1,159","1,380","1,750","2,030",NA
BRETON,807,952,"1,084","1,181","1,500"
BROOKS,"1,088","1,200","1,300","1,500","1,740"
